新世界,2013,8.9,330611
电锯惊魂,2004,8.7,453529
模仿游戏,2014,8.7,539267
哈利·波特与火焰杯,2005,8.7,522890
黑客帝国3：矩阵革命,2003,8.8,381123
花样年华,2000,8.7,507146
卢旺达饭店,2004,8.9,277325
上帝之城,2002,9.0,267215
三块广告牌,2017,8.7,718320
风之谷,1984,8.9,318282
疯狂原始人,2013,8.7,743990
谍影重重3,2007,8.8,368210
你的名字。,2016,8.5,1202277
英雄本色,1986,8.6,455362
头脑特工队,2015,8.7,516573
达拉斯买家俱乐部,2013,8.8,390863
纵横四海,1991,8.8,359174
心迷宫,2014,8.7,435480
岁月神偷,2010,8.7,521394
记忆碎片,2000,8.7,531979
惊魂记,1960,9.0,229604
忠犬八公物语,1987,9.2,166456
海街日记,2015,8.8,373794
荒蛮故事,2014,8.8,378965
九品芝麻官,1994,8.6,545293
爆裂鼓手,2014,8.7,494283
贫民窟的百万富翁,2008,8.6,659091
真爱至上,2003,8.6,627977
东邪西毒,1994,8.6,510978
绿里奇迹,1999,8.9,268764
小偷家族,2018,8.7,720181
爱在午夜降临前,2013,8.8,318808
无敌破坏王,2012,8.7,461677
黑天鹅,2010,8.6,710912
冰川时代,2002,8.6,538747
你看起来好像很好吃,2010,8.9,292331
疯狂的石头,2006,8.5,701834
萤火虫之墓,1988,8.7,366906
色，戒,2007,8.5,626872
雨人,1988,8.7,357211
恐怖游轮,2009,8.5,700025
雨中曲,1952,9.1,182775
恋恋笔记本,2004,8.6,574563
魔女宅急便,1989,8.7,397437
2001太空漫游,1968,8.9,263091
城市之光,1931,9.3,119916
可可西里,2004,8.8,259207
虎口脱险,1966,8.9,213346
人工智能,2001,8.7,383079
二十二,2015,8.7,263033
初恋这件小事,2010,8.4,883289
遗愿清单,2007,8.7,362573
海边的曼彻斯特,2016,8.6,425403
大佛普拉斯,2017,8.7,367012
奇迹男孩,2017,8.6,493715
罗生门,1950,8.8,268007
终结者2：审判日,1991,8.8,300354
牯岭街少年杀人事件,1991,8.9,233927
房间,2015,8.8,333031
源代码,2011,8.5,713378
青蛇,1993,8.6,451239
无间道2,2003,8.7,379578
东京教父,2003,9.0,167859
新龙门客栈,1992,8.6,383871
疯狂的麦克斯4：狂暴之路,2015,8.6,455132
魂断蓝桥,1940,8.8,240813
波西米亚狂想曲,2018,8.7,507490
无耻混蛋,2009,8.6,412369
步履不停,2008,8.8,236631
血钻,2006,8.7,321535
茶馆,1982,9.5,84519
彗星来的那一夜,2013,8.5,467706
战争之王,2005,8.7,311314
燃情岁月,1994,8.8,253190
千钧一发,1997,8.8,238524
黑客帝国2：重装上阵,2003,8.6,341209
谍影重重2,2004,8.7,308819
崖上的波妞,2008,8.6,407049
海洋,2009,9.1,144383
背靠背，脸对脸,1994,9.5,86355
阿飞正传,1990,8.5,436079
小丑,2019,8.7,866180
穿越时空的少女,2006,8.6,339283
谍影重重,2002,8.6,370210
地球上的星星,2007,8.9,181161
香水,2006,8.5,485618
完美陌生人,2016,8.5,469351
再次出发之纽约遇见你,2013,8.6,371186
我爱你,2011,9.1,143854
爱乐之城,2016,8.4,730305
朗读者,2008,8.6,410686
火星救援,2015,8.5,609985
小萝莉的猴神大叔,2015,8.4,433086
聚焦,2015,8.8,243970
驴得水,2016,8.3,805339
浪潮,2008,8.7,239199
猜火车,1996,8.6,375594
千年女优,2001,8.8,206772
