id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218929,丝瓜,1186,蔬菜,,,4.0,4.5,4.25,冀豫鲁,长\短,斤,2021-12-14 00:00:00,,138,,admin,,,
1218928,西葫芦,1186,蔬菜,,,1.0,1.6,1.3,云鲁,箱,斤,2021-12-14 00:00:00,,138,,admin,,,
1218927,佛手瓜,1186,蔬菜,,,3.0,3.5,3.25,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218926,贝贝南瓜,1186,蔬菜,,,2.5,3.5,3.0,蒙,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218925,金丝南瓜,1186,蔬菜,,,1.4,2.5,1.95,蒙,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218924,板栗南瓜,1186,蔬菜,,,1.8,2.0,1.9,新蒙,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218923,南北瓜,1186,蔬菜,,,0.8,1.0,0.9,川鄂皖浙,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218922,尖椒,1186,蔬菜,,,2.5,4.0,3.25,辽冀鲁蒙,袋\箱,斤,2021-12-14 00:00:00,,138,,admin,,,
1218921,红尖椒,1186,蔬菜,,,3.0,5.0,4.0,鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218920,美人椒,1186,蔬菜,,,5.0,7.0,6.0,鲁云蒙,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218919,螺丝椒,1186,蔬菜,,,3.0,4.5,3.75,鲁甘,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218918,柿子椒,1186,蔬菜,,,1.5,2.5,2.0,鲁冀,袋\箱,斤,2021-12-14 00:00:00,,138,,admin,,,
1218917,线椒,1186,蔬菜,,,3.5,4.5,4.0,鲁冀,新,斤,2021-12-14 00:00:00,,138,,admin,,,
1218656,鲫鱼,1190,水产,1209,淡水鱼,9.0,10.0,9.5,,200g-250g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218655,鲫鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,350g-400g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218654,胖头鱼,1190,水产,1209,淡水鱼,8.0,8.5,8.25,,>2000g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218653,胖头鱼,1190,水产,1209,淡水鱼,8.5,9.0,8.75,,<2000g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218652,武昌鱼,1190,水产,1209,淡水鱼,8.5,9.5,9.0,,700g左右,斤,2021-12-14 00:00:00,,138,,admin,,,
1218651,鲢鱼,1190,水产,1209,淡水鱼,4.0,4.5,4.25,,>1500g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218650,鲢鱼,1190,水产,1209,淡水鱼,4.0,4.5,4.25,,1000-1500g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218649,鲶鱼,1190,水产,1209,淡水鱼,4.0,4.0,4.0,,养殖,斤,2021-12-14 00:00:00,,138,,admin,,,
1218648,黑鱼,1190,水产,1209,淡水鱼,11.0,12.0,11.5,,<1500g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218647,黑鱼,1190,水产,1209,淡水鱼,14.0,15.0,14.5,,>1500g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218646,黄鳝,1190,水产,1209,淡水鱼,35.0,35.0,35.0,,50g-100g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218645,黄鳝,1190,水产,1209,淡水鱼,38.0,38.0,38.0,,100g-200g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218644,罗非鱼,1190,水产,1209,淡水鱼,9.0,9.0,9.0,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218643,虹鳟鱼,1190,水产,1209,淡水鱼,18.0,20.0,19.0,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218642,鲟鱼,1190,水产,1209,淡水鱼,13.0,15.0,14.0,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218641,桂鱼,1190,水产,1209,淡水鱼,35.0,35.0,35.0,,标桂,斤,2021-12-14 00:00:00,,138,,admin,,,
1218640,嘎鱼,1190,水产,1209,淡水鱼,18.0,19.0,18.5,,>100g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218639,嘎鱼,1190,水产,1209,淡水鱼,16.0,17.0,16.5,,<100g,斤,2021-12-14 00:00:00,,138,,admin,,,
1218638,淡水鲈鱼,1190,水产,1209,淡水鱼,16.0,17.0,16.5,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218637,泥鳅,1190,水产,1209,淡水鱼,10.0,15.0,12.5,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218956,菜花,1186,蔬菜,,,2.4,2.8,2.6,鄂,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218955,散菜花,1186,蔬菜,,,2.5,4.0,3.25,冀甘陕,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218954,绿菜花,1186,蔬菜,,,3.0,3.6,3.3,鲁豫苏,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218953,绿豆芽,1186,蔬菜,,,0.95,1.0,0.98,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218952,黄豆芽,1186,蔬菜,,,0.85,0.9,0.88,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218951,番茄,1186,蔬菜,,,1.5,2.8,2.15,蒙,黑框,斤,2021-12-14 00:00:00,,138,,admin,,,
1218950,番茄,1186,蔬菜,,,2.7,3.3,3.0,鲁蒙冀,白框,斤,2021-12-14 00:00:00,,138,,admin,,,
1218949,黄瓜,1186,蔬菜,,,1.7,2.6,2.15,鲁辽云,袋\箱,斤,2021-12-14 00:00:00,,138,,admin,,,
1218948,黄瓜,1186,蔬菜,,,3.3,3.6,3.45,冀,鲜干花,斤,2021-12-14 00:00:00,,138,,admin,,,
1218947,小黄瓜,1186,蔬菜,,,4.0,5.4,4.7,辽,旱\荷兰,斤,2021-12-14 00:00:00,,138,,admin,,,
1218946,茄子,1186,蔬菜,,,1.8,2.8,2.3,冀鲁云,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
