ClassFication,Name,low-price,mean-price,high-price,release-time
蔬菜,青萝卜,1.8,2.1,2.4,2021-12-13 00:00:00
蔬菜,胡萝卜,1.2,1.5,1.8,2021-12-13 00:00:00
蔬菜,胡萝卜,1.4,1.6,1.8,2021-12-13 00:00:00
蔬菜,土豆,0.8,0.9,1.0,2021-12-13 00:00:00
蔬菜,土豆,1.0,1.15,1.3,2021-12-13 00:00:00
蔬菜,葱头,0.7,0.75,0.8,2021-12-13 00:00:00
蔬菜,葱头,1.0,1.1,1.2,2021-12-13 00:00:00
蔬菜,山药,2.4,3.1,3.8,2021-12-13 00:00:00
蔬菜,山药,3.8,5.9,8.0,2021-12-13 00:00:00
蔬菜,莲藕,3.0,3.25,3.5,2021-12-13 00:00:00
蔬菜,红薯,1.0,1.1,1.2,2021-12-13 00:00:00
蔬菜,红薯,1.5,1.75,2.0,2021-12-13 00:00:00
蔬菜,紫薯,1.8,2.4,3.0,2021-12-13 00:00:00
蔬菜,茭白,5.5,5.75,6.0,2021-12-13 00:00:00

蔬菜,荸荠,2.2,2.35,2.5,2021-12-13 00:00:00
蔬菜,芋头,1.5,1.55,1.6,2021-12-13 00:00:00
蔬菜,姜,1.5,2.5,3.5,2021-12-13 00:00:00
蔬菜,大蒜,3.0,3.7,4.4,2021-12-13 00:00:00
蔬菜,蒜米,3.2,3.5,3.8,2021-12-13 00:00:00
蔬菜,大葱,2.0,2.1,2.2,2021-12-13 00:00:00
蔬菜,小葱,5.0,5.25,5.5,2021-12-13 00:00:00
蔬菜,蒜苗,3.0,4.75,6.5,2021-12-13 00:00:00
蔬菜,蒜黄,3.6,3.8,4.0,2021-12-13 00:00:00
蔬菜,青蒜,3.5,3.65,3.8,2021-12-13 00:00:00
蔬菜,平菇,2.5,2.75,3.0,2021-12-13 00:00:00
蔬菜,香菇,3.0,3.5,4.0,2021-12-13 00:00:00
蔬菜,白玉菇,4.0,4.5,5.0,2021-12-13 00:00:00
蔬菜,口蘑,8.0,8.5,9.0,2021-12-13 00:00:00
蔬菜,杏鲍菇,3.0,3.5,4.0,2021-12-13 00:00:00
蔬菜,金针菇,2.0,2.5,3.0,2021-12-13 00:00:00
蔬菜,油菜,2.0,2.25,2.5,2021-12-13 00:00:00
蔬菜,小白菜,2.0,2.25,2.5,2021-12-13 00:00:00
蔬菜,油麦菜,4.5,4.75,5.0,2021-12-13 00:00:00
蔬菜,奶白菜,3.0,3.1,3.2,2021-12-13 00:00:00

蔬菜,散生菜,4.0,4.5,5.0,2021-12-13 00:00:00
蔬菜,香葱,4.0,4.5,5.0,2021-12-13 00:00:00
蔬菜,茼蒿,4.0,4.5,5.0,2021-12-13 00:00:00
蔬菜,蒿子秆,4.0,4.5,5.0,2021-12-13 00:00:00
蔬菜,水萝卜,4.0,4.25,4.5,2021-12-13 00:00:00
蔬菜,樱桃萝卜,3.0,3.25,3.5,2021-12-13 00:00:00
蔬菜,香芹,3.5,3.75,4.0,2021-12-13 00:00:00
蔬菜,菠菜,4.0,4.25,4.5,2021-12-13 00:00:00
蔬菜,苋菜,5.5,5.75,6.0,2021-12-13 00:00:00
蔬菜,菊花菜,2.0,2.5,3.0,2021-12-13 00:00:00
蔬菜,黄心菜,3.0,3.25,3.5,2021-12-13 00:00:00
蔬菜,青蒜,5.5,5.75,6.0,2021-12-13 00:00:00
蔬菜,盖菜,2.0,2.25,2.5,2021-12-13 00:00:00
蔬菜,芥兰,3.0,3.25,3.5,2021-12-13 00:00:00
蔬菜,菜心,3.0,3.5,4.0,2021-12-13 00:00:00
蔬菜,空心菜,6.5,6.75,7.0,2021-12-13 00:00:00
蔬菜,鸡毛菜,3.0,3.25,3.5,2021-12-13 00:00:00
蔬菜,豌豆苗,4.0,4.25,4.5,2021-12-13 00:00:00
蔬菜,快菜,2.5,2.75,3.0,2021-12-13 00:00:00
蔬菜,苦菊,4.5,5.0,5.5,2021-12-13 00:00:00

蔬菜,穿心莲,2.5,2.75,3.0,2021-12-13 00:00:00
蔬菜,木耳菜,6.0,6.5,7.0,2021-12-13 00:00:00
水果,菠萝,2.0,2.25,2.5,2021-12-13 00:00:00
水果,圣女果,8.0,8.5,9.0,2021-12-13 00:00:00
水果,百香果,7.0,7.5,8.0,2021-12-13 00:00:00
水果,冬枣,2.0,4.0,6.0,2021-12-13 00:00:00
水果,黑枣,7.0,8.0,9.0,2021-12-13 00:00:00
水果,九九草莓,30.0,36.0,42.0,2021-12-13 00:00:00
水果,宁玉草莓,20.0,22.5,25.0,2021-12-13 00:00:00
水果,甜宝草莓,20.0,23.5,27.0,2021-12-13 00:00:00
水果,红颜草莓,20.0,22.0,24.0,2021-12-13 00:00:00
水果,人参果,4.0,4.5,5.0,2021-12-13 00:00:00
水果,火龙果,2.5,5.0,7.5,2021-12-13 00:00:00
水果,火龙果,2.5,3.5,4.5,2021-12-13 00:00:00
水果,板栗,3.0,3.25,3.5,2021-12-13 00:00:00
水果,油栗,3.5,5.75,8.0,2021-12-13 00:00:00
水果,木瓜,4.0,4.5,5.0,2021-12-13 00:00:00
水果,柿饼,7.0,9.5,12.0,2021-12-13 00:00:00
水果,磨盘柿子,1.8,2.0,2.2,2021-12-13 00:00:00
